2025-04-07T22:44:54.429322 | 5364888869 | BTCUSDT | REGULAR | Price: 78941.99
2025-04-07T22:50:18.056842 | 5364888869 | BTCUSDT | REGULAR | Price: 78852.4
2025-04-07T22:52:18.348240 | 5364888869 | BTCUSDT | REGULAR | Price: 79078.0
2025-04-07T23:00:37.825159 | 5364888869 | BTCUSDT | REGULAR | Price: 79113.41
2025-04-07T23:02:38.962597 | 5364888869 | BTCUSDT | REGULAR | Price: 78992.02
2025-04-07T23:04:38.308519 | 5364888869 | BTCUSDT | REGULAR | Price: 79074.18
2025-04-07T23:06:38.313405 | 5364888869 | BTCUSDT | REGULAR | Price: 78923.25
2025-04-07T23:08:38.128654 | 5364888869 | BTCUSDT | REGULAR | Price: 78946.5
2025-04-07T23:10:39.560765 | 5364888869 | BTCUSDT | REGULAR | Price: 78928.0
2025-04-07T23:13:02.978918 | 5364888869 | BTCUSDT | THRESHOLD | Change: 0.05%
2025-04-07T23:13:05.835936 | 5364888869 | BTCUSDT | REGULAR | Price: 78848.71
2025-04-07T23:14:38.064668 | 5364888869 | BTCUSDT | REGULAR | Price: 78863.64
2025-04-07T23:17:03.420693 | 5364888869 | BTCUSDT | THRESHOLD | Change: 0.13%
2025-04-07T23:17:08.766889 | 5364888869 | BTCUSDT | REGULAR | Price: 78799.93
2025-04-07T23:19:38.973020 | 5364888869 | BTCUSDT | REGULAR | Price: 79272.06
2025-04-07T23:21:38.139920 | 5364888869 | BTCUSDT | REGULAR | Price: 79178.0
2025-04-07T23:23:38.218098 | 5364888869 | BTCUSDT | REGULAR | Price: 79264.0
2025-04-07T23:25:39.140341 | 5364888869 | BTCUSDT | REGULAR | Price: 79093.66
2025-04-08T18:46:30.342588 | 5364888869 | BTCUSDT | REGULAR | Price: 80008.15
2025-04-08T18:48:05.227226 | 5364888869 | BTCUSDT | REGULAR | Price: 79960.0
2025-04-08T18:50:06.413950 | 5364888869 | BTCUSDT | REGULAR | Price: 79684.01
2025-04-08T18:52:44.828242 | 5364888869 | BTCUSDT | REGULAR | Price: 79558.32
2025-04-08T18:52:47.523972 | 5364888869 | LKOH | REGULAR | Price: 6448.5
2025-04-08T18:56:42.137037 | 5364888869 | LKOH | REGULAR | Price: 6447.0
2025-04-08T19:02:19.999474 | 5364888869 | LKOH | REGULAR | Price: 6447.5
2025-04-08T19:07:19.903461 | 5364888869 | LKOH | REGULAR | Price: 6422.0
2025-04-08T19:13:02.035192 | 5364888869 | LKOH | REGULAR | Price: 6434.0
2025-04-08T19:13:02.604238 | 824714615 | LKOH | REGULAR | Price: 6434.0
2025-04-08T19:16:42.460455 | 5364888869 | LKOH | REGULAR | Price: 6431.0
